תקופה,שם לקוח,מקט,שם פריט,כמות,מחיר,מחיר תקליט,סהכ לפריט
אוקטובר 2025,פאט ויני נתניה,1512,"אגס,קג",3,20.46,כן,61.39
אוקטובר 2025,פאט ויני נתניה,1512,"אגס,קג",11,23.08,כן,253.98
אוקטובר 2025,פאט ויני נתניה,39,"אורגנו,קג",4,19.9,לא,79.6
אוקטובר 2025,פאט ויני נתניה,1517,"אנדיב אדום ארוז זוג,נספאק",36,22,לא,792
אוקטובר 2025,פאט ויני נתניה,28,"בזיליקום,קג",33,18.4,לא,607.2
אוקטובר 2025,פאט ויני נתניה,110,"בטטה גדולה,קג",39,7.33,כן,286.24
אוקטובר 2025,פאט ויני נתניה,110,"בטטה גדולה,קג",15,9.38,כן,140.8
אוקטובר 2025,פאט ויני נתניה,837,"בצל אדום מקולף גלאט,קג",55,9.38,כן,516.28
אוקטובר 2025,פאט ויני נתניה,249,"בצל אדום מקולף ללא שורש,קג",25,11.22,כן,280.61
אוקטובר 2025,פאט ויני נתניה,103,"בצל מקולף ללא שורש,קג",65,8.17,כן,531.66
אוקטובר 2025,פאט ויני נתניה,122,"ברוקולי,קג",26,23.61,כן,613.97
אוקטובר 2025,פאט ויני נתניה,122,"ברוקולי,קג",45,24.66,כן,1109.9
אוקטובר 2025,פאט ויני נתניה,400,"גזר,קג",5,3.66,כן,18.32
אוקטובר 2025,פאט ויני נתניה,400,"גזר,קג",7.5,3.87,כן,29.05
אוקטובר 2025,פאט ויני נתניה,79,"זוקיני,קג",9,9.43,כן,84.95
אוקטובר 2025,פאט ויני נתניה,79,"זוקיני,קג",13,9.64,כן,125.44
אוקטובר 2025,פאט ויני נתניה,79,"זוקיני,קג",2,10.12,כן,20.24
אוקטובר 2025,פאט ויני נתניה,79,"זוקיני,קג",10,13.11,כן,131.14
אוקטובר 2025,פאט ויני נתניה,1639,"חסה לאליק,נספאק",98,8.8,לא,862.4
אוקטובר 2025,פאט ויני נתניה,685,"חסה לבבות קיסר,קג",232,19.5,לא,4524
אוקטובר 2025,פאט ויני נתניה,1489,"חסה ליטל גם מהדרין,נספאק",89,12,לא,1068
אוקטובר 2025,פאט ויני נתניה,871,"חסה סלנובה,נספאק",32,8.5,לא,272
אוקטובר 2025,פאט ויני נתניה,1381,"חציל,קג",10,6.86,כן,68.67
אוקטובר 2025,פאט ויני נתניה,1381,"חציל,קג",5,6.97,כן,34.86
אוקטובר 2025,פאט ויני נתניה,1381,"חציל,קג",5,7.28,כן,36.43
אוקטובר 2025,פאט ויני נתניה,1381,"חציל,קג",8,7.33,כן,58.71
אוקטובר 2025,פאט ויני נתניה,1381,"חציל,קג",18,8.17,כן,147.23
אוקטובר 2025,פאט ויני נתניה,43,"טימין,חבילה",4,3,לא,12
אוקטובר 2025,פאט ויני נתניה,42,"טימין,קג",0.5,16,לא,8
אוקטובר 2025,פאט ויני נתניה,156,"כרישה/פרסה,קג",47,14.16,כן,665.73
אוקטובר 2025,פאט ויני נתניה,730,"ליים,קג",6,13.11,כן,78.68
אוקטובר 2025,פאט ויני נתניה,1685,"לימון סוג א,קג",56,12.06,כן,675.61
אוקטובר 2025,פאט ויני נתניה,1074,"מלפפון,קג",24,5.71,כן,137.08
אוקטובר 2025,פאט ויני נתניה,1074,"מלפפון,קג",28,6.23,כן,174.63
אוקטובר 2025,פאט ויני נתניה,1074,"מלפפון,קג",27,6.44,כן,174.06
אוקטובר 2025,פאט ויני נתניה,1074,"מלפפון,קג",30,6.49,כן,194.98
אוקטובר 2025,פאט ויני נתניה,1074,"מלפפון,קג",35,6.91,כן,242.18
אוקטובר 2025,פאט ויני נתניה,51,"נענע,קג",4,12,לא,48
אוקטובר 2025,פאט ויני נתניה,1569,"נקטרינה לבנה,קג",4,22.03,כן,88.15
אוקטובר 2025,פאט ויני נתניה,1569,"נקטרינה לבנה,קג",6,26.23,כן,157.43
אוקטובר 2025,פאט ויני נתניה,1574,"נקטרינה צהובה,קג",30,24.13,כן,724.18
אוקטובר 2025,פאט ויני נתניה,1216,"סלק,קג",12,4.5,כן,54.05
אוקטובר 2025,פאט ויני נתניה,97,"סלרי,יחידה",24,3.5,לא,84
אוקטובר 2025,פאט ויני נתניה,344,"עגבניה אשכול,קג",49,10.59,כן,519.13
אוקטובר 2025,פאט ויני נתניה,344,"עגבניה אשכול,קג",60,12.79,כן,767.97
אוקטובר 2025,פאט ויני נתניה,344,"עגבניה אשכול,קג",90,13.11,כן,1180.3
אוקטובר 2025,פאט ויני נתניה,344,"עגבניה אשכול,קג",70,13.63,כן,954.76
אוקטובר 2025,פאט ויני נתניה,344,"עגבניה אשכול,קג",70,14.47,כן,1013.56
אוקטובר 2025,פאט ויני נתניה,1467,"עגבניות מגי,נספאק",43,22.03,כן,947.69
אוקטובר 2025,פאט ויני נתניה,1467,"עגבניות מגי,נספאק",26,23.08,כן,600.32
אוקטובר 2025,פאט ויני נתניה,644,"עגבניות שרי מנומר,קג",42,18.36,כן,771.3
אוקטובר 2025,פאט ויני נתניה,644,"עגבניות שרי מנומר,קג",12,19.41,כן,232.97
אוקטובר 2025,פאט ויני נתניה,640,"עגבניות שרי צהוב,קג",90,18.36,כן,1652.8
אוקטובר 2025,פאט ויני נתניה,640,"עגבניות שרי צהוב,קג",60,19.41,כן,1164.87
אוקטובר 2025,פאט ויני נתניה,563,"עגבניות שרי תמר,קג",78,18.36,כן,1432.43
אוקטובר 2025,פאט ויני נתניה,563,"עגבניות שרי תמר,קג",54,19.41,כן,1048.38
אוקטובר 2025,פאט ויני נתניה,54,"עירית,חבילה",10,2.8,לא,28
אוקטובר 2025,פאט ויני נתניה,44,"פטרוזיליה,קג",34,9.9,לא,336.6
אוקטובר 2025,פאט ויני נתניה,65,"פטריות א-ת,קג",125,25.4,לא,3175
אוקטובר 2025,פאט ויני נתניה,565,"פטריות פורטבלה גדולות,קג",52,28,לא,1456
אוקטובר 2025,פאט ויני נתניה,1383,"פלפל ירוק חריף,קג",3,14.16,כן,42.49
אוקטובר 2025,פאט ויני נתניה,1383,"פלפל ירוק חריף,קג",2,14.58,כן,29.16
אוקטובר 2025,פאט ויני נתניה,1419,"פלפל צהוב,קג",7,13.21,כן,92.53
אוקטובר 2025,פאט ויני נתניה,1419,"פלפל צהוב,קג",11,13.32,כן,146.56
אוקטובר 2025,פאט ויני נתניה,1419,"פלפל צהוב,קג",15,13.84,כן,207.74
אוקטובר 2025,פאט ויני נתניה,1419,"פלפל צהוב,קג",10,13.95,כן,139.54
אוקטובר 2025,פאט ויני נתניה,1419,"פלפל צהוב,קג",11,14.79,כן,162.73
אוקטובר 2025,פאט ויני נתניה,1260,"פלפל שושקה אדום,קג",16,20.98,כן,335.83
אוקטובר 2025,פאט ויני נתניה,1260,"פלפל שושקה אדום,קג",5,22.56,כן,112.82
אוקטובר 2025,פאט ויני נתניה,1260,"פלפל שושקה אדום,קג",4,25.18,כן,100.75
אוקטובר 2025,פאט ויני נתניה,119,"צ'ילי אדום,קג",11.5,20.5,לא,235.75
אוקטובר 2025,פאט ויני נתניה,34,"רוזמרין,קג",0.5,13,לא,6.5
אוקטובר 2025,פאט ויני נתניה,63,"רוקולה,קג",34,16,לא,544
אוקטובר 2025,פאט ויני נתניה,190,"שום קלוף מובחר,קג",65,27,לא,1755
אוקטובר 2025,פאט ויני נתניה,634,"שעועית,קג",10,34.63,כן,346.39
אוקטובר 2025,פאט ויני נתניה,634,"שעועית,קג",3,35.68,כן,107.06
אוקטובר 2025,פאט ויני נתניה,634,"שעועית,קג",4,36.73,כן,146.95
אוקטובר 2025,פאט ויני נתניה,1255,"תירס לבן,יחידה",38,3.9,לא,148.2
אוקטובר 2025,פאט ויני נתניה,855,"תפו""א באטר,קג",395,4.5,לא,1777.5
אוקטובר 2025,פאט ויני נתניה,1503,"תפוז רגיל,קג",10,9.64,כן,96.49
אוקטובר 2025,פאט ויני נתניה,658,"תרד תורכי,קג",55,20,לא,1100
אוקטובר 2025,פאט ויני עזריאלי חיפה,1512,"אגס,קג",2,20.46,כן,40.92
אוקטובר 2025,פאט ויני עזריאלי חיפה,1512,"אגס,קג",16,23.08,כן,369.43
אוקטובר 2025,פאט ויני עזריאלי חיפה,39,"אורגנו,קג",2.5,19.9,לא,49.75
אוקטובר 2025,פאט ויני עזריאלי חיפה,1517,"אנדיב אדום ארוז זוג,נספאק",48,22,לא,1056
אוקטובר 2025,פאט ויני עזריאלי חיפה,28,"בזיליקום,קג",31,18.4,לא,570.4
אוקטובר 2025,פאט ויני עזריאלי חיפה,110,"בטטה גדולה,קג",39,7.33,כן,286.24
אוקטובר 2025,פאט ויני עזריאלי חיפה,110,"בטטה גדולה,קג",15,9.38,כן,140.8
אוקטובר 2025,פאט ויני עזריאלי חיפה,249,"בצל אדום מקולף ללא שורש,קג",80,11.22,כן,897.96
אוקטובר 2025,פאט ויני עזריאלי חיפה,118,"בצל אדום,קג",5,4.3,כן,21.5
אוקטובר 2025,פאט ויני עזריאלי חיפה,103,"בצל מקולף ללא שורש,קג",80,8.17,כן,654.36
אוקטובר 2025,פאט ויני עזריאלי חיפה,122,"ברוקולי,קג",13,23.61,כן,306.98
אוקטובר 2025,פאט ויני עזריאלי חיפה,122,"ברוקולי,קג",24,24.66,כן,591.94
אוקטובר 2025,פאט ויני עזריאלי חיפה,400,"גזר,קג",5,3.66,כן,18.32
אוקטובר 2025,פאט ויני עזריאלי חיפה,400,"גזר,קג",7.5,3.87,כן,29.05
אוקטובר 2025,פאט ויני עזריאלי חיפה,79,"זוקיני,קג",10,10.12,כן,101.22
אוקטובר 2025,פאט ויני עזריאלי חיפה,79,"זוקיני,קג",4,13.11,כן,52.45
אוקטובר 2025,פאט ויני עזריאלי חיפה,207,"זעתר,קג",1,23,לא,23
אוקטובר 2025,פאט ויני עזריאלי חיפה,1639,"חסה לאליק,נספאק",225,8.8,לא,1980
אוקטובר 2025,פאט ויני עזריאלי חיפה,685,"חסה לבבות קיסר,קג",174,19.5,לא,3393
אוקטובר 2025,פאט ויני עזריאלי חיפה,1489,"חסה ליטל גם מהדרין,נספאק",11,12,לא,132
אוקטובר 2025,פאט ויני עזריאלי חיפה,871,"חסה סלנובה,נספאק",25,8.5,לא,212.5
אוקטובר 2025,פאט ויני עזריאלי חיפה,1381,"חציל,קג",7,6.97,כן,48.8
אוקטובר 2025,פאט ויני עזריאלי חיפה,1381,"חציל,קג",12,7.28,כן,87.44
אוקטובר 2025,פאט ויני עזריאלי חיפה,1381,"חציל,קג",3,7.33,כן,22.01
אוקטובר 2025,פאט ויני עזריאלי חיפה,1381,"חציל,קג",5,8.17,כן,40.89
אוקטובר 2025,פאט ויני עזריאלי חיפה,42,"טימין,קג",0.5,16,לא,8
אוקטובר 2025,פאט ויני עזריאלי חיפה,156,"כרישה/פרסה,קג",48,14.16,כן,679.89
אוקטובר 2025,פאט ויני עזריאלי חיפה,730,"ליים,קג",4,13.11,כן,52.45
אוקטובר 2025,פאט ויני עזריאלי חיפה,1685,"לימון סוג א,קג",55,12.06,כן,663.54
אוקטובר 2025,פאט ויני עזריאלי חיפה,1074,"מלפפון,קג",17,5.71,כן,97.1
אוקטובר 2025,פאט ויני עזריאלי חיפה,1074,"מלפפון,קג",36,6.23,כן,224.53
אוקטובר 2025,פאט ויני עזריאלי חיפה,1074,"מלפפון,קג",26,6.44,כן,167.62
אוקטובר 2025,פאט ויני עזריאלי חיפה,1074,"מלפפון,קג",21,6.49,כן,136.48
אוקטובר 2025,פאט ויני עזריאלי חיפה,1074,"מלפפון,קג",31,6.91,כן,214.5
אוקטובר 2025,פאט ויני עזריאלי חיפה,51,"נענע,קג",4.5,12,לא,54
אוקטובר 2025,פאט ויני עזריאלי חיפה,1569,"נקטרינה לבנה,קג",1,22.03,כן,22.03
אוקטובר 2025,פאט ויני עזריאלי חיפה,1569,"נקטרינה לבנה,קג",1,26.23,כן,26.23
אוקטובר 2025,פאט ויני עזריאלי חיפה,1574,"נקטרינה צהובה,קג",19,24.13,כן,458.65
אוקטובר 2025,פאט ויני עזריאלי חיפה,1216,"סלק,קג",11,4.5,כן,49.54
אוקטובר 2025,פאט ויני עזריאלי חיפה,97,"סלרי,יחידה",26,3.5,לא,91
אוקטובר 2025,פאט ויני עזריאלי חיפה,344,"עגבניה אשכול,קג",71,10.59,כן,752.2
אוקטובר 2025,פאט ויני עזריאלי חיפה,344,"עגבניה אשכול,קג",45,12.79,כן,575.97
אוקטובר 2025,פאט ויני עזריאלי חיפה,344,"עגבניה אשכול,קג",37,13.11,כן,485.23
אוקטובר 2025,פאט ויני עזריאלי חיפה,344,"עגבניה אשכול,קג",52,13.63,כן,709.25
אוקטובר 2025,פאט ויני עזריאלי חיפה,344,"עגבניה אשכול,קג",70,14.47,כן,1013.56
אוקטובר 2025,פאט ויני עזריאלי חיפה,1467,"עגבניות מגי,נספאק",52,22.03,כן,1146.05
אוקטובר 2025,פאט ויני עזריאלי חיפה,1467,"עגבניות מגי,נספאק",24,23.08,כן,554.14
אוקטובר 2025,פאט ויני עזריאלי חיפה,644,"עגבניות שרי מנומר,קג",52,18.36,כן,954.95
אוקטובר 2025,פאט ויני עזריאלי חיפה,644,"עגבניות שרי מנומר,קג",38,19.41,כן,737.75
אוקטובר 2025,פאט ויני עזריאלי חיפה,640,"עגבניות שרי צהוב,קג",58,18.36,כן,1065.14
אוקטובר 2025,פאט ויני עזריאלי חיפה,640,"עגבניות שרי צהוב,קג",41,19.41,כן,795.99
אוקטובר 2025,פאט ויני עזריאלי חיפה,563,"עגבניות שרי תמר,קג",63,18.36,כן,1156.96
אוקטובר 2025,פאט ויני עזריאלי חיפה,563,"עגבניות שרי תמר,קג",49,19.41,כן,951.31
אוקטובר 2025,פאט ויני עזריאלי חיפה,54,"עירית,חבילה",24,2.8,לא,67.2
אוקטובר 2025,פאט ויני עזריאלי חיפה,44,"פטרוזיליה,קג",35.5,9.9,לא,351.45
אוקטובר 2025,פאט ויני עזריאלי חיפה,65,"פטריות א-ת,קג",54,25.4,לא,1371.6
אוקטובר 2025,פאט ויני עזריאלי חיפה,565,"פטריות פורטבלה גדולות,קג",77,28,לא,2156
אוקטובר 2025,פאט ויני עזריאלי חיפה,1421,"פלפל אדום,קג",5,10.8,כן,54.02
אוקטובר 2025,פאט ויני עזריאלי חיפה,1421,"פלפל אדום,קג",3,11.85,כן,35.56
אוקטובר 2025,פאט ויני עזריאלי חיפה,1383,"פלפל ירוק חריף,קג",2,12.06,כן,24.12
אוקטובר 2025,פאט ויני עזריאלי חיפה,1383,"פלפל ירוק חריף,קג",7,14.16,כן,99.15
אוקטובר 2025,פאט ויני עזריאלי חיפה,1419,"פלפל צהוב,קג",9,13.21,כן,118.97
אוקטובר 2025,פאט ויני עזריאלי חיפה,1419,"פלפל צהוב,קג",11,13.32,כן,146.56
אוקטובר 2025,פאט ויני עזריאלי חיפה,1419,"פלפל צהוב,קג",11,13.84,כן,152.34
אוקטובר 2025,פאט ויני עזריאלי חיפה,1419,"פלפל צהוב,קג",12,13.95,כן,167.45
אוקטובר 2025,פאט ויני עזריאלי חיפה,1419,"פלפל צהוב,קג",12,14.79,כן,177.53
אוקטובר 2025,פאט ויני עזריאלי חיפה,119,"צ'ילי אדום,קג",15,20.5,לא,307.5
אוקטובר 2025,פאט ויני עזריאלי חיפה,34,"רוזמרין,קג",1,13,לא,13
אוקטובר 2025,פאט ויני עזריאלי חיפה,63,"רוקולה,קג",24,16,לא,384
אוקטובר 2025,פאט ויני עזריאלי חיפה,190,"שום קלוף מובחר,קג",82,27,לא,2214
אוקטובר 2025,פאט ויני עזריאלי חיפה,634,"שעועית,קג",3,34.63,כן,103.91
אוקטובר 2025,פאט ויני עזריאלי חיפה,634,"שעועית,קג",1,36.73,כן,36.73
אוקטובר 2025,פאט ויני עזריאלי חיפה,855,"תפו""א באטר,קג",360,4.5,לא,1620
אוקטובר 2025,פאט ויני עזריאלי חיפה,1503,"תפוז רגיל,קג",4,8.91,כן,35.65
אוקטובר 2025,פאט ויני עזריאלי חיפה,1503,"תפוז רגיל,קג",10,9.64,כן,96.49
אוקטובר 2025,פאט ויני עזריאלי חיפה,658,"תרד תורכי,קג",41,20,לא,820
אוקטובר 2025,פאט ויני קריות,1512,"אגס,קג",2,20.46,כן,40.92
אוקטובר 2025,פאט ויני קריות,1512,"אגס,קג",15,23.08,כן,346.34
אוקטובר 2025,פאט ויני קריות,1840,"אורגנו מהדרין,חבילה",10,5,לא,50
אוקטובר 2025,פאט ויני קריות,39,"אורגנו,קג",5,19.9,לא,99.5
אוקטובר 2025,פאט ויני קריות,1517,"אנדיב אדום ארוז זוג,נספאק",3,22,לא,66
אוקטובר 2025,פאט ויני קריות,28,"בזיליקום,קג",36.5,18.4,לא,671.6
אוקטובר 2025,פאט ויני קריות,110,"בטטה גדולה,קג",69,7.33,כן,506.42
אוקטובר 2025,פאט ויני קריות,110,"בטטה גדולה,קג",36,9.38,כן,337.93
אוקטובר 2025,פאט ויני קריות,837,"בצל אדום מקולף גלאט,קג",75,9.38,כן,704.02
אוקטובר 2025,פאט ויני קריות,249,"בצל אדום מקולף ללא שורש,קג",10,11.22,כן,112.24
אוקטובר 2025,פאט ויני קריות,103,"בצל מקולף ללא שורש,קג",60,8.17,כן,490.77
אוקטובר 2025,פאט ויני קריות,122,"ברוקולי,קג",30,23.61,כן,708.43
אוקטובר 2025,פאט ויני קריות,122,"ברוקולי,קג",44,24.66,כן,1085.23
אוקטובר 2025,פאט ויני קריות,400,"גזר,קג",5,3.66,כן,18.32
אוקטובר 2025,פאט ויני קריות,400,"גזר,קג",12.5,3.87,כן,48.43
אוקטובר 2025,פאט ויני קריות,79,"זוקיני,קג",5,9.43,כן,47.19
אוקטובר 2025,פאט ויני קריות,79,"זוקיני,קג",20,9.64,כן,192.99
אוקטובר 2025,פאט ויני קריות,79,"זוקיני,קג",6,10.12,כן,60.73
אוקטובר 2025,פאט ויני קריות,79,"זוקיני,קג",6,13.11,כן,78.68
אוקטובר 2025,פאט ויני קריות,1639,"חסה לאליק,נספאק",317,8.8,לא,2789.6
אוקטובר 2025,פאט ויני קריות,685,"חסה לבבות קיסר,קג",356,19.5,לא,6942
אוקטובר 2025,פאט ויני קריות,1489,"חסה ליטל גם מהדרין,נספאק",15,12,לא,180
אוקטובר 2025,פאט ויני קריות,871,"חסה סלנובה,נספאק",2,8.5,לא,17
אוקטובר 2025,פאט ויני קריות,1381,"חציל,קג",11,6.86,כן,75.53
אוקטובר 2025,פאט ויני קריות,1381,"חציל,קג",8,6.97,כן,55.77
אוקטובר 2025,פאט ויני קריות,1381,"חציל,קג",7,7.28,כן,51
אוקטובר 2025,פאט ויני קריות,1381,"חציל,קג",7,7.33,כן,51.37
אוקטובר 2025,פאט ויני קריות,1381,"חציל,קג",15,8.17,כן,122.69
אוקטובר 2025,פאט ויני קריות,42,"טימין,קג",0.5,16,לא,8
אוקטובר 2025,פאט ויני קריות,156,"כרישה/פרסה,קג",41,14.16,כן,580.74
אוקטובר 2025,פאט ויני קריות,730,"ליים,קג",1,13.11,כן,13.11
אוקטובר 2025,פאט ויני קריות,1685,"לימון סוג א,קג",55,12.06,כן,663.54
אוקטובר 2025,פאט ויני קריות,1074,"מלפפון,קג",19,5.71,כן,108.52
אוקטובר 2025,פאט ויני קריות,1074,"מלפפון,קג",31,6.23,כן,193.34
אוקטובר 2025,פאט ויני קריות,1074,"מלפפון,קג",10,6.44,כן,64.47
אוקטובר 2025,פאט ויני קריות,1074,"מלפפון,קג",27,6.49,כן,175.48
אוקטובר 2025,פאט ויני קריות,1074,"מלפפון,קג",23,6.91,כן,159.14
אוקטובר 2025,פאט ויני קריות,51,"נענע,קג",13,12,לא,156
אוקטובר 2025,פאט ויני קריות,1569,"נקטרינה לבנה,קג",1,22.03,כן,22.03
אוקטובר 2025,פאט ויני קריות,1574,"נקטרינה צהובה,קג",25,24.13,כן,603.48
אוקטובר 2025,פאט ויני קריות,1216,"סלק,קג",5,4.5,כן,22.52
אוקטובר 2025,פאט ויני קריות,97,"סלרי,יחידה",22,3.5,לא,77
אוקטובר 2025,פאט ויני קריות,344,"עגבניה אשכול,קג",97,10.59,כן,1027.66
אוקטובר 2025,פאט ויני קריות,344,"עגבניה אשכול,קג",55,12.79,כן,703.97
אוקטובר 2025,פאט ויני קריות,344,"עגבניה אשכול,קג",70,13.11,כן,918.01
אוקטובר 2025,פאט ויני קריות,344,"עגבניה אשכול,קג",82,13.63,כן,1118.43
אוקטובר 2025,פאט ויני קריות,344,"עגבניה אשכול,קג",95,14.47,כן,1375.55
אוקטובר 2025,פאט ויני קריות,1467,"עגבניות מגי,נספאק",30,22.03,כן,661.18
אוקטובר 2025,פאט ויני קריות,1467,"עגבניות מגי,נספאק",14,23.08,כן,323.25
אוקטובר 2025,פאט ויני קריות,644,"עגבניות שרי מנומר,קג",77,18.36,כן,1414.06
אוקטובר 2025,פאט ויני קריות,644,"עגבניות שרי מנומר,קג",41,19.41,כן,795.99
אוקטובר 2025,פאט ויני קריות,640,"עגבניות שרי צהוב,קג",118,18.36,כן,2167.01
אוקטובר 2025,פאט ויני קריות,640,"עגבניות שרי צהוב,קג",66,19.41,כן,1281.35
אוקטובר 2025,פאט ויני קריות,563,"עגבניות שרי תמר,קג",113,18.36,כן,2075.18
אוקטובר 2025,פאט ויני קריות,563,"עגבניות שרי תמר,קג",53,19.41,כן,1028.96
אוקטובר 2025,פאט ויני קריות,54,"עירית,חבילה",7,2.8,לא,19.6
אוקטובר 2025,פאט ויני קריות,44,"פטרוזיליה,קג",43,9.9,לא,425.7
אוקטובר 2025,פאט ויני קריות,65,"פטריות א-ת,קג",107,25.4,לא,2717.8
אוקטובר 2025,פאט ויני קריות,565,"פטריות פורטבלה גדולות,קג",107,28,לא,2996
אוקטובר 2025,פאט ויני קריות,1421,"פלפל אדום,קג",9,10.8,כן,97.24
אוקטובר 2025,פאט ויני קריות,1421,"פלפל אדום,קג",3,11.64,כן,34.93
אוקטובר 2025,פאט ויני קריות,1421,"פלפל אדום,קג",2,11.85,כן,23.7
אוקטובר 2025,פאט ויני קריות,1383,"פלפל ירוק חריף,קג",2,12.06,כן,24.12
אוקטובר 2025,פאט ויני קריות,1419,"פלפל צהוב,קג",15,13.21,כן,198.29
אוקטובר 2025,פאט ויני קריות,1419,"פלפל צהוב,קג",22,13.32,כן,293.13
אוקטובר 2025,פאט ויני קריות,1419,"פלפל צהוב,קג",20,13.84,כן,276.99
אוקטובר 2025,פאט ויני קריות,1419,"פלפל צהוב,קג",23,13.95,כן,320.95
אוקטובר 2025,פאט ויני קריות,1419,"פלפל צהוב,קג",18,14.79,כן,266.3
אוקטובר 2025,פאט ויני קריות,119,"צ'ילי אדום,קג",8,20.5,לא,164
אוקטובר 2025,פאט ויני קריות,34,"רוזמרין,קג",0.5,13,לא,6.5
אוקטובר 2025,פאט ויני קריות,63,"רוקולה,קג",17,16,לא,272
אוקטובר 2025,פאט ויני קריות,190,"שום קלוף מובחר,קג",102,27,לא,2754
אוקטובר 2025,פאט ויני קריות,634,"שעועית,קג",9,34.63,כן,311.75
אוקטובר 2025,פאט ויני קריות,634,"שעועית,קג",2,36.73,כן,73.47
אוקטובר 2025,פאט ויני קריות,1255,"תירס לבן,יחידה",50,3.9,לא,195
אוקטובר 2025,פאט ויני קריות,855,"תפו""א באטר,קג",390,4.5,לא,1755
אוקטובר 2025,פאט ויני קריות,1503,"תפוז רגיל,קג",5,8.91,כן,44.57
אוקטובר 2025,פאט ויני קריות,1503,"תפוז רגיל,קג",3,9.64,כן,28.94
אוקטובר 2025,פאט ויני קריות,658,"תרד תורכי,קג",81,20,לא,1620
אוקטובר 2025,פאט ויני רגבה (שי),1512,"אגס,קג",2,20.46,כן,40.92
אוקטובר 2025,פאט ויני רגבה (שי),1512,"אגס,קג",24,23.08,כן,554.14
אוקטובר 2025,פאט ויני רגבה (שי),39,"אורגנו,קג",5,19.9,לא,99.5
אוקטובר 2025,פאט ויני רגבה (שי),1517,"אנדיב אדום ארוז זוג,נספאק",39,22,לא,858
אוקטובר 2025,פאט ויני רגבה (שי),28,"בזיליקום,קג",32,18.4,לא,588.8
אוקטובר 2025,פאט ויני רגבה (שי),110,"בטטה גדולה,קג",39,7.33,כן,286.24
אוקטובר 2025,פאט ויני רגבה (שי),110,"בטטה גדולה,קג",21,9.38,כן,197.12
אוקטובר 2025,פאט ויני רגבה (שי),249,"בצל אדום מקולף ללא שורש,קג",50,11.22,כן,561.22
אוקטובר 2025,פאט ויני רגבה (שי),103,"בצל מקולף ללא שורש,קג",175,8.17,כן,1431.41
אוקטובר 2025,פאט ויני רגבה (שי),122,"ברוקולי,קג",11,23.61,כן,259.75
אוקטובר 2025,פאט ויני רגבה (שי),122,"ברוקולי,קג",17,24.66,כן,419.29
אוקטובר 2025,פאט ויני רגבה (שי),400,"גזר,קג",7.5,3.66,כן,27.48
אוקטובר 2025,פאט ויני רגבה (שי),400,"גזר,קג",17.5,3.87,כן,67.8
אוקטובר 2025,פאט ויני רגבה (שי),1639,"חסה לאליק,נספאק",367,8.8,לא,3229.6
אוקטובר 2025,פאט ויני רגבה (שי),685,"חסה לבבות קיסר,קג",288,19.5,לא,5616
אוקטובר 2025,פאט ויני רגבה (שי),871,"חסה סלנובה,נספאק",51,8.5,לא,433.5
אוקטובר 2025,פאט ויני רגבה (שי),1381,"חציל,קג",2,6.86,כן,13.73
אוקטובר 2025,פאט ויני רגבה (שי),1381,"חציל,קג",5,6.97,כן,34.86
אוקטובר 2025,פאט ויני רגבה (שי),1381,"חציל,קג",10,7.28,כן,72.87
אוקטובר 2025,פאט ויני רגבה (שי),1381,"חציל,קג",5,7.33,כן,36.69
אוקטובר 2025,פאט ויני רגבה (שי),1381,"חציל,קג",5,8.17,כן,40.89
אוקטובר 2025,פאט ויני רגבה (שי),42,"טימין,קג",2.5,16,לא,40
אוקטובר 2025,פאט ויני רגבה (שי),156,"כרישה/פרסה,קג",37,14.16,כן,524.08
אוקטובר 2025,פאט ויני רגבה (שי),730,"ליים,קג",10,13.11,כן,131.14
אוקטובר 2025,פאט ויני רגבה (שי),1685,"לימון סוג א,קג",59,12.06,כן,711.8
אוקטובר 2025,פאט ויני רגבה (שי),1074,"מלפפון,קג",14,5.71,כן,79.96
אוקטובר 2025,פאט ויני רגבה (שי),1074,"מלפפון,קג",22,6.23,כן,137.21
אוקטובר 2025,פאט ויני רגבה (שי),1074,"מלפפון,קג",23,6.44,כן,148.28
אוקטובר 2025,פאט ויני רגבה (שי),1074,"מלפפון,קג",14,6.49,כן,90.99
אוקטובר 2025,פאט ויני רגבה (שי),1074,"מלפפון,קג",21,6.91,כן,145.3
אוקטובר 2025,פאט ויני רגבה (שי),51,"נענע,קג",4,12,לא,48
אוקטובר 2025,פאט ויני רגבה (שי),1569,"נקטרינה לבנה,קג",2,22.03,כן,44.07
אוקטובר 2025,פאט ויני רגבה (שי),1569,"נקטרינה לבנה,קג",2,26.23,כן,52.47
אוקטובר 2025,פאט ויני רגבה (שי),1574,"נקטרינה צהובה,קג",35,24.13,כן,844.88
אוקטובר 2025,פאט ויני רגבה (שי),1216,"סלק,קג",13,4.5,כן,58.55
אוקטובר 2025,פאט ויני רגבה (שי),97,"סלרי,יחידה",67,3.5,לא,234.5
אוקטובר 2025,פאט ויני רגבה (שי),344,"עגבניה אשכול,קג",70,10.59,כן,741.61
אוקטובר 2025,פאט ויני רגבה (שי),344,"עגבניה אשכול,קג",55,12.79,כן,703.97
אוקטובר 2025,פאט ויני רגבה (שי),344,"עגבניה אשכול,קג",90,13.11,כן,1180.3
אוקטובר 2025,פאט ויני רגבה (שי),344,"עגבניה אשכול,קג",80,13.63,כן,1091.16
