תקופה,שם לקוח,מקט,שם פריט,כמות,מחיר,מחיר תקליט,סהכ לפריט
אוקטובר 2025,מינה טומיי קריות,563,"עגבניות שרי תמר,קג",13,19.41,כן,252.38
אוקטובר 2025,מינה טומיי קריות,53,"עירית,קג",17,29.9,לא,508.3
אוקטובר 2025,מינה טומיי קריות,1016,"עלי קישוט,יחידה",160,1.3,לא,208
אוקטובר 2025,מינה טומיי קריות,41,"עשב לימון,קג",22,19.9,לא,437.8
אוקטובר 2025,מינה טומיי קריות,65,"פטריות א-ת,קג",7,25.4,לא,177.8
אוקטובר 2025,מינה טומיי קריות,76,"פטריות ב-ת,קג",102,17.4,לא,1774.8
אוקטובר 2025,מינה טומיי קריות,55,"פטריות יער,קג",46,34,לא,1564
אוקטובר 2025,מינה טומיי קריות,69,"פטריות פורטבלה,קג",65,28,לא,1820
אוקטובר 2025,מינה טומיי קריות,1421,"פלפל אדום,קג",5,9.22,כן,46.14
אוקטובר 2025,מינה טומיי קריות,1421,"פלפל אדום,קג",13,10.8,כן,140.45
אוקטובר 2025,מינה טומיי קריות,1421,"פלפל אדום,קג",6,11.64,כן,69.86
אוקטובר 2025,מינה טומיי קריות,1421,"פלפל אדום,קג",5,11.85,כן,59.27
אוקטובר 2025,מינה טומיי קריות,1383,"פלפל ירוק חריף,קג",3,12.06,כן,36.19
אוקטובר 2025,מינה טומיי קריות,1383,"פלפל ירוק חריף,קג",4,14.16,כן,56.65
אוקטובר 2025,מינה טומיי קריות,1383,"פלפל ירוק חריף,קג",2,14.58,כן,29.16
אוקטובר 2025,מינה טומיי קריות,119,"צ'ילי אדום,קג",16,20.5,לא,328
אוקטובר 2025,מינה טומיי קריות,888,"צנונית,חבילה",9,3.9,לא,35.1
אוקטובר 2025,מינה טומיי קריות,23,"רוקולה בייבי,קג",4,23,לא,92
אוקטובר 2025,מינה טומיי קריות,312,"שאלוט מקולף,קג",10,29,לא,290
אוקטובר 2025,מינה טומיי קריות,190,"שום קלוף מובחר,קג",47,27,לא,1269
אוקטובר 2025,מינה טומיי קריות,634,"שעועית,קג",14,34.63,כן,484.95
אוקטובר 2025,מינה טומיי קריות,634,"שעועית,קג",3,35.68,כן,107.06
אוקטובר 2025,מינה טומיי קריות,634,"שעועית,קג",5,36.73,כן,183.69
אוקטובר 2025,מינה טומיי קריות,1491,"תפו""א אדום,קג",93,5.13,כן,477.5
אוקטובר 2025,מינה טומיי קריות,1503,"תפוז רגיל,קג",2,8.91,כן,17.82
אוקטובר 2025,מינה טומיי קריות,1503,"תפוז רגיל,קג",3,9.64,כן,28.94
אוקטובר 2025,מינה טומיי קריות,1506,"תפוח עץ גראני סמיט,קג",18,15.73,כן,283.31
אוקטובר 2025,מינה טומיי קריות,1506,"תפוח עץ גראני סמיט,קג",6,17.83,כן,107.03
אוקטובר 2025,מינה טומיי קריות,1505,"תפוח עץ פינק ליידי,קג",42,21.51,כן,903.6
אוקטובר 2025,מינה טומיי קריות,1264,"תרד בייבי שטוף,קג",49,22,לא,1078
אוקטובר 2025,"מינה טומיי ת""א",327,"אוכמניות,נספאק",37,19,לא,703
אוקטובר 2025,"מינה טומיי ת""א",538,"אספרגוס בינוני,חבילה",39,22.8,לא,889.2
אוקטובר 2025,"מינה טומיי ת""א",914,"ארטישוק ירושלמי,קג",7,13,לא,91
אוקטובר 2025,"מינה טומיי ת""א",1007,"בזיליקום תאילנדי,חבילה",31,5.5,לא,170.5
אוקטובר 2025,"מינה טומיי ת""א",28,"בזיליקום,קג",7,18.4,לא,128.8
אוקטובר 2025,"מינה טומיי ת""א",928,"בטטה סגולה,קג",5,16,לא,80
אוקטובר 2025,"מינה טומיי ת""א",1198,"בננה,קג",13,11.74,כן,152.74
אוקטובר 2025,"מינה טומיי ת""א",1198,"בננה,קג",10,11.95,כן,119.59
אוקטובר 2025,"מינה טומיי ת""א",1198,"בננה,קג",13,14.68,כן,190.96
אוקטובר 2025,"מינה טומיי ת""א",1198,"בננה,קג",14,15.31,כן,214.47
אוקטובר 2025,"מינה טומיי ת""א",1198,"בננה,קג",5,15.42,כן,77.12
אוקטובר 2025,"מינה טומיי ת""א",249,"בצל אדום מקולף ללא שורש,קג",35,11.22,כן,392.85
אוקטובר 2025,"מינה טומיי ת""א",309,"בצל ירוק,קג",46,11.9,לא,547.4
אוקטובר 2025,"מינה טומיי ת""א",103,"בצל מקולף ללא שורש,קג",170,8.17,כן,1390.51
אוקטובר 2025,"מינה טומיי ת""א",122,"ברוקולי,קג",110,23.61,כן,2597.59
אוקטובר 2025,"מינה טומיי ת""א",122,"ברוקולי,קג",175,24.66,כן,4316.28
אוקטובר 2025,"מינה טומיי ת""א",400,"גזר,קג",10,3.66,כן,36.64
אוקטובר 2025,"מינה טומיי ת""א",400,"גזר,קג",17.5,3.87,כן,67.8
אוקטובר 2025,"מינה טומיי ת""א",78,"ג'ינג'ר,קג",10,21,לא,210
אוקטובר 2025,"מינה טומיי ת""א",1628,"דלעת,קג",59,6.28,כן,371.08
אוקטובר 2025,"מינה טומיי ת""א",79,"זוקיני,קג",1,9.64,כן,9.64
